reg_no,length,owner_uuid
MH06BW3859,22 Ft XL,856427048
HR73A2662,32 Ft XXL,2005079660
NL01AE1957,32 Ft XL,1.27493E+18
KA01MA1019,32 Ft XXL,1.28381E+18
HR55W2343,32 Ft XL,1866714848
NL01AD7846,32 Ft XL Ft XL,446147763
WB05A3580,32 Ft XL,1080031028
RJ32GC2015,32 Ft XL,1.36523E+18
TS07UK9280,32 Ft XXL Ft XXL,3829683448
NL01K1685,32 Ft XXL,1.41376E+18
HR38AH1616,34 Ft XL,1599883026
RJ32GC8152,32 Ft XL,4054241774
NL01AF1837,32 Ft XXL,3194110022
NL01K1688,32 Ft XXL,1.41376E+18
KA53AA5244,22 Ft XL,322358579
HR68A8514,32 Ft XXL,2838899538
HR68B8375,32 Ft XL,2838899538
NL01AC5005,32 Ft XXL,744933130
HR55AL5433,32 Ft XL,4112769211
MH46BB8103,32 Ft XXL,1489547832
RJ09GC3007,32 Ft XXL,3340806020
TN22BA2616,22 Ft XL,2008205270
CH01TB6762,32 Ft XXL,2838899538
MH04JU3192,32 Ft XL,1763251974
ANL01AF2182,32 Ft XL,1763251974
TN58AQ9741,32 Ft XXL,1.27493E+18
HR55W7963,32 Ft XL,3988371116
KA51AG9969,32 Ft XXL,4129260956
HR38Z3503,32 Ft XL,4023146082
MH31FC5885,32 Ft XL,2322831403
HR55AK7052,32 Ft XL,1.36451E+18
KA52A8973,22 Ft XL,1272545252
KA01AL6269,32 Ft XXL,1.35482E+18
GJ12BX3556,32 Ft XXXL,3298518857
TN12X1463,32 Ft XXL,395208720
NL01AF2163,32 Ft XL,1763251974
NL01AE9982,32 Ft XXL,3155762556
HR55AK6140,32 Ft XXL,1.27493E+18
HR55AB8639,32 Ft XXL,1001936175
MH40BG6128,32 Ft XL,3992969109
HR37E5490,30 Ft DXL Ft DXL,3836262919
MH04JK7790,32 Ft XL,1763251974
RJ14GL8593,32 Ft XL,2005079660
UP19T5826,32 Ft XXL,4009778367
TN18AT1798,32 Ft XL,133794854
TG07T5471,32 Ft XXL Ft XXL,363642820
MH04GF7344,32 Ft XXL,837293076
NL01N1225,32 Ft XXL,1115169021
RJ11GB8875,32 Ft XXL,1463879186
TS07UL2312,32 Ft XXL Ft XXL,2520815654
KA52A6514,22 Ft XL,1272545252
TN88H7177,32 Ft XXL,622358456
MH20DE7892,32 Ft XL,2986211984
UP24T5775,30 Ft DXL Ft DXL,2115237033
GJ12BY4010,32 Ft XXXL,1608917745
TN28BL2621,32 Ft XXL Ft XXL,3870805147
NLO1AE8478,32 Ft XXXL,1.27493E+18
TS08UB5747,32 Ft XXL Ft XXL,3829683448
TN39CM3985,32 Ft XXL,1271043962
HR55AL1598,32 Ft XL,1.36451E+18
MH04HY6884,32 Ft XL,1763251974
NL01AF7057,32 Ft XL,3731347356
NL01L3686,32 Ft XXL,1.33853E+18
NL01AD5141,32 Ft XL,1.27493E+18
UP78CT9371,32 Ft XL,3616476587
HR55AJ0248,32 Ft XXL,1.32428E+18
AS01QC3061,32 Ft XXL Ft XXL,406527468
RJ10GA8949,32 Ft XL,4267432777
KA51AF7732,32 Ft XXL,1.27493E+18
NL01N2573,32 Ft XXL Ft XXL,1355641096
HR47C6947,32 Ft XXL,1.29422E+18
UP21BN7540,32 Ft XXL,1115169021
HR68B2519,32 Ft XL,1595549574
NL01G0567,32 Ft XXL,1.33853E+18
UP21CN1643,32 Ft XXL,1115169021
AP39Y3323,32 Ft XXL,3536829949
TG07U6376,32 Ft XXL Ft XXL,973970333
MH04JK3757,32 Ft XL,1763251974
BR06GE1837,32 Ft XL,1675607123
HR68A8001,32 Ft XXL,2838899538
RJ07GC3805,32 Ft XXXL,2632840719
NL01AF2173,32 Ft XL,1763251974
HR63E5483,32 Ft XL,1.27493E+18
CH01TB0233,32 Ft XXL,2838899538
HR47E7190,32 Ft XL,1.27493E+18
NL01AB1272,32 Ft XL,1996182883
UP21BN5016,32 Ft XXL Ft XXL,199051732
HR38AB7766,32 Ft XL,1562663088
TG07T5969,32 Ft XXL Ft XXL,363642820
TN16H0995,32 Ft XXL,2384970192
WB175723,32 Ft XXL,3540391324
CH01TB2463,32 Ft XXL,2838899538
CH01TB1734,32 Ft XXL,2838899538
GJ12BY2210,32 Ft XXXL,1608917745
PB13AR8740,32 Ft XXL,1.27493E+18
GJ12BV5624,32 Ft XXXL,1608917745
TN16E5229,32 Ft XXL,2086562521
MP09DM5884,32 Ft XL Ft XL,4169597569
KA53AB1703,32 Ft XL,1.27493E+18
UP21CN7424,32 Ft XXL,1115169021
HR55AU5221,32 Ft XL,1733578037
KA01AG4708,32 Ft XXL,1930959888
MH04Y6593,32 Ft XL,1763251974
HR55S5717,32 Ft XXL,1693871389
HR55AL8305,32 Ft XL,1982572239
NL01N0366,32 Ft XXL,1.27493E+18
UP72CT4131,32 Ft XXL Ft XXL,3613680653
HR38AC1441,32 Ft XL,2948561052
HT55AL7133,32 Ft XXL,1.29422E+18
HR61D2556,32 Ft XL,1253470403
UP16FT7771,22 Ft XL,2101937107
NL01AB0728,32 Ft XXL,4112769211
HR55AK4695,32 Ft XXL Ft XXL,1.27493E+18
DD03P9755,32 Ft XXL,1.27493E+18
TN23CQ9594,22 Ft XL,1.27493E+18
DL1MA5727,22 Ft XL,2072733907
HR66A7918,32 Ft XXL,806121545
PB11BY5253,30 Ft DXL Ft DXL,3364769651
UP21BN2469,32 Ft XL,872244056
MH46BF8840,32 Ft XL,470049837
TS08UB5210,32 Ft XXL Ft XXL,2520815654
UK17CA5510,30 Ft DXL Ft DXL,3836262919
KA51AB0080,17 Ft XL,3986523581
PB11DA7589,30 Ft DXL Ft DXL,3364769651
PB13BE2481,32 Ft XXL,1.27493E+18
UP32CN3541,32 Ft XXL,1.27493E+18
RJ14GJ5778,32 Ft XL,1.27493E+18
